y_val,y_pred_val
65.66,67.53570000000002
81.89,81.85639999999995
49.84,48.34900000000004
83.8,76.64079999999991
73.15,73.4043
61.54,62.557599999999994
44.55,44.8619
18.81,25.69880000000001
59.83,58.35279999999999
81.72,81.57979999999999
42.2,47.27390000000003
65.99,66.85909999999998
44.0,42.94040000000001
82.11,81.27240000000008
38.44,39.33400000000003
44.26,49.9403
49.97,49.34000000000002
53.55,52.7896
84.47,82.82969999999992
69.36,69.246
53.57,52.964999999999954
66.35,66.26530000000002
70.77,56.897700000000015
91.93,80.20020000000004
56.47,56.684599999999946
71.0,72.20199999999996
55.5,56.03270000000001
62.65,62.09059999999999
87.21,81.29910000000002
58.14,58.03980000000001
80.34,71.40090000000001
52.35,56.976300000000016
46.6,48.969199999999994
53.91,55.90180000000005
49.31,47.6833
61.77,59.59789999999998
62.77,58.570499999999996
47.64,47.12600000000003
57.8,57.996700000000004
83.36,78.73110000000001
42.07,47.31249999999999
61.68,63.675299999999964
51.97,52.194199999999974
47.54,50.94720000000006
37.96,37.7835
32.56,38.48499999999998
76.96,76.0688
53.73,53.86320000000001
49.27,43.49599999999996
48.15,46.78829999999999
35.68,39.30900000000003
43.89,43.75789999999999
57.89,58.22250000000001
79.85,77.50189999999994
70.35,71.5146
40.9,40.7829
42.83,43.80099999999999
54.77,57.056699999999964
71.12,71.0377
73.83,75.46260000000002
70.1,69.30829999999997
51.28,51.815
69.36,68.27439999999999
65.09,63.74359999999999
64.61,61.64229999999998
61.17,61.113199999999985
72.44,70.98449999999997
77.42,78.80770000000001
73.38,72.89240000000004
18.08,19.143899999999988
40.58,40.517599999999995
19.47,20.34659999999998
61.25,62.477299999999985
37.9,42.16879999999998
58.8,59.09449999999998
65.82,66.75809999999997
59.38,59.20770000000006
50.85,52.220200000000034
72.04,71.89739999999996
59.16,58.95099999999999
50.42,51.658999999999985
78.15,77.94850000000008
53.91,55.6282
61.47,60.66400000000002
74.93,78.81869999999998
55.05,54.308499999999974
58.43,57.3565
17.19,16.871800000000007
49.43,49.67580000000001
60.59,61.80230000000002
55.67,56.35909999999996
56.44,55.21800000000002
52.07,57.2429
78.19,71.45419999999991
60.86,59.4026
55.9,57.2173
72.89,72.75029999999998
56.09,56.04699999999996
49.03,49.9272
22.62,18.941700000000004
49.33,53.68420000000001
52.66,52.62930000000002
105.48,77.4394
61.64,61.43790000000007
53.77,54.352300000000035
67.5,66.74189999999997
59.0,58.791199999999975
58.1,59.04320000000003
73.18,71.10160000000005
46.32,46.77469999999997
29.52,29.84999999999999
32.66,29.26440000000001
49.23,50.3848
66.03,62.62610000000002
72.18,70.99719999999998
49.66,49.829600000000006
50.15,50.81689999999999
73.6,76.71689999999995
64.92,65.95739999999996
74.27,68.33840000000001
67.34,59.20000000000002
59.73,54.83409999999995
43.73,43.53750000000001
50.88,49.314699999999974
63.71,64.06830000000004
49.34,49.877400000000016
55.57,56.37929999999997
32.87,33.20060000000002
69.85,63.416500000000006
91.56,83.54389999999998
46.92,45.90090000000002
47.69,50.078600000000044
79.49,77.8716
73.61,73.82419999999999
49.04,47.45149999999998
60.7,56.21060000000001
61.85,62.697200000000024
40.99,44.84739999999998
53.3,53.360200000000034
47.83,45.62880000000001
64.25,63.14460000000004
61.48,61.49779999999994
61.89,61.62489999999999
64.55,60.47160000000002
77.13,78.36849999999997
36.69,36.379699999999985
71.75,72.80430000000001
62.1,60.57760000000001
75.02,75.057
52.93,53.17019999999995
58.81,58.245299999999986
49.45,49.688300000000005
57.38,57.68859999999999
48.51,49.842899999999965
53.21,51.9653
43.06,43.19209999999998
71.04,71.87400000000004
49.61,46.87600000000003
73.03,73.05369999999996
41.83,44.57730000000001
63.17,62.87140000000003
48.19,48.4127
67.38,67.81399999999995
30.18,31.061000000000003
57.12,57.11920000000002
29.0,30.232400000000013
64.8,67.47500000000008
58.8,59.02019999999999
77.75,75.89989999999996
54.22,54.651400000000024
50.9,51.43659999999998
71.46,70.12010000000005
44.37,52.41620000000003
65.48,61.98769999999999
73.72,73.32180000000007
70.69,65.7574
76.26,77.02910000000008
59.15,63.48299999999998
76.82,75.02739999999993
41.52,41.364200000000004
58.9,59.12550000000001
50.82,52.63719999999999
58.98,58.9975
48.68,48.33790000000002
66.57,66.52080000000002
91.63,92.50360000000002
